date,aqi,water_usage,energy_consumption,waste_generated,co2_emissions
2025-12-30,46.8,1020.0,504.8,95.8,185.3
2025-12-31,43.3,943.9,467.2,88.6,171.4
2026-01-01,47.2,1029.0,509.2,96.6,186.9
2026-01-02,43.8,954.5,472.4,89.6,173.4
2026-01-03,45.0,980.4,485.2,92.0,178.1
2026-01-04,44.3,965.8,478.0,90.7,175.4
2026-01-05,46.5,1013.7,501.7,95.2,184.1
2026-01-06,46.6,1015.8,502.7,95.4,184.5
2026-01-07,49.2,1071.0,530.0,100.5,194.5
2026-01-08,48.0,1045.6,517.5,98.2,189.9
2026-01-09,48.8,1063.8,526.5,99.9,193.2
2026-01-10,45.9,999.5,494.7,93.8,181.5
2026-01-11,46.3,1008.4,499.1,94.7,183.2
2026-01-12,48.0,1045.6,517.5,98.2,189.9
2026-01-13,50.7,1104.9,546.8,103.7,200.7
2026-01-14,47.5,1035.1,512.3,97.2,188.0
2026-01-15,51.2,1115.8,552.2,104.7,202.7
2026-01-16,49.9,1087.5,538.2,102.1,197.5
2026-01-17,51.3,1118.0,553.3,105.0,203.1
2026-01-18,50.6,1103.0,545.9,103.5,200.3
2026-01-19,49.2,1072.4,530.7,100.7,194.8
2026-01-20,50.3,1094.6,541.7,102.8,198.8
2026-01-21,53.0,1153.4,570.8,108.3,209.5
2026-01-22,50.8,1107.0,547.9,103.9,201.1
2026-01-23,50.7,1104.6,546.7,103.7,200.6
2026-01-24,53.9,1173.9,581.0,110.2,213.2
2026-01-25,53.7,1169.2,578.6,109.8,212.4
2026-01-26,52.5,1143.8,566.1,107.4,207.8
2026-01-27,50.9,1109.3,549.0,104.1,201.5
2026-01-28,53.6,1166.4,577.3,109.5,211.9
2026-01-29,53.3,1160.2,574.2,108.9,210.7
2026-01-30,54.2,1179.4,583.7,110.7,214.2
2026-01-31,51.9,1129.9,559.2,106.1,205.2
2026-02-01,52.5,1144.0,566.2,107.4,207.8
2026-02-02,56.5,1230.7,609.1,115.5,223.5
2026-02-03,57.8,1257.7,622.4,118.1,228.4
2026-02-04,53.7,1169.1,578.6,109.8,212.3
2026-02-05,54.0,1177.0,582.5,110.5,213.8
2026-02-06,59.0,1283.9,635.4,120.5,233.2
2026-02-07,59.1,1286.0,636.5,120.7,233.6
2026-02-08,56.1,1222.6,605.1,114.8,222.1
2026-02-09,57.5,1251.4,619.3,117.5,227.3
2026-02-10,57.7,1256.3,621.7,117.9,228.2
2026-02-11,59.6,1297.1,641.9,121.8,235.6
2026-02-12,55.3,1204.9,596.3,113.1,218.9
2026-02-13,55.7,1213.2,600.4,113.9,220.4
2026-02-14,61.6,1341.5,663.9,125.9,243.7
2026-02-15,58.6,1276.4,631.7,119.8,231.8
2026-02-16,60.3,1312.4,649.5,123.2,238.4
2026-02-17,59.1,1286.2,636.6,120.7,233.6
2026-02-18,61.8,1346.7,666.5,126.4,244.6
2026-02-19,58.9,1282.2,634.5,120.4,232.9
2026-02-20,60.4,1315.8,651.2,123.5,239.0
2026-02-21,59.7,1300.0,643.4,122.0,236.1
2026-02-22,62.1,1352.6,669.4,127.0,245.7
2026-02-23,62.7,1365.0,675.5,128.1,247.9
2026-02-24,59.1,1287.6,637.2,120.9,233.9
2026-02-25,61.4,1337.2,661.8,125.5,242.9
2026-02-26,61.3,1334.7,660.5,125.3,242.4
2026-02-27,64.1,1396.0,690.9,131.1,253.6
2026-02-28,60.6,1320.8,653.6,124.0,239.9
2026-03-01,65.3,1422.4,703.9,133.5,258.3
2026-03-02,63.2,1377.1,681.5,129.3,250.1
2026-03-03,61.5,1340.0,663.2,125.8,243.4
2026-03-04,62.0,1350.5,668.3,126.8,245.3
2026-03-05,64.8,1410.4,698.0,132.4,256.2
2026-03-06,67.6,1472.5,728.7,138.2,267.5
2026-03-07,66.3,1444.3,714.8,135.6,262.3
2026-03-08,67.1,1461.7,723.4,137.2,265.5
2026-03-09,63.2,1376.8,681.4,129.2,250.1
2026-03-10,63.1,1373.8,679.9,129.0,249.5
2026-03-11,67.3,1465.6,725.3,137.6,266.2
2026-03-12,67.2,1462.9,724.0,137.3,265.7
2026-03-13,66.1,1438.8,712.1,135.1,261.3
2026-03-14,68.3,1486.8,735.8,139.6,270.1
2026-03-15,68.9,1500.8,742.7,140.9,272.6
2026-03-16,66.9,1457.3,721.2,136.8,264.7
2026-03-17,70.8,1542.2,763.2,144.8,280.1
2026-03-18,65.4,1425.3,705.4,133.8,258.9
2026-03-19,68.2,1484.7,734.8,139.4,269.7
2026-03-20,68.2,1484.3,734.6,139.3,269.6
2026-03-21,69.2,1507.1,745.9,141.5,273.7
2026-03-22,71.0,1545.7,765.0,145.1,280.8
2026-03-23,68.0,1480.6,732.7,139.0,268.9
2026-03-24,68.3,1488.4,736.6,139.7,270.4
2026-03-25,73.5,1600.6,792.1,150.3,290.7
2026-03-26,71.4,1554.4,769.3,145.9,282.3
2026-03-27,68.6,1493.2,739.0,140.2,271.2
2026-03-28,67.9,1477.7,731.3,138.7,268.4
2026-03-29,72.2,1571.9,777.9,147.6,285.5
